Zones,T_Sig,T_Stop,Schols,B_Stop,P_Sped,LN_AVKT,Total,Fatal,Serio,Minor,S1,S2,S3S,S4S,X2,X3,X4,X5,X5A,X5B,X6,X7,X8,X9,LNPOP,Y_POP,HHD1,HHD2,Cyc,X12,X13,X14,X15,Unemp,X17,X18,X20,E1,E2,E3,E4,E5,L2,L3,L4,L5,L6,L7,L8,Resi,Coma,Index,L11,VKT_10,LN_VKT_10,VKT_11,LN_VKT_11,VKT_12,LN_VKT_12,VKT_13,LN_VKT_13,AVKT ,TPOP,Long,Lat
2137032,0,0,0,2,50,0,2,0,1,1,34.18181818,11.273,19.636,14.545,30.39349,36.09227,8.68385,0.88974359,53.05292,46.94708,737,3423.71819,32,1016,6.602587892,24.83039,41.833,46.6135,4.80769,2.4,8.4,77.6,10.8,12.18274,0,74.67949,3.84615,25.87859,16.61342,18.53035,32.90735,3.19489,0,0,0,0,0,0,0,100,0,0,0.21526,0,0,0,0,0,0,0,0,0,737,145.1726142,-38.10444483
2137033,0,0,1,1,51.25,0,0,0,0,0,36.77130045,16.144,20.628,16.144,24.37592,36.56388,17.32746,1.265780731,44.05286,55.94714,681,1850.7184,38,1158,6.525029658,21.73275,37.391,55.6522,2.68456,2.3,4.34783,85.21739,10.43478,5.45455,0,77.85235,4.36242,23.38983,24.40678,16.27119,28.47458,5.42373,0,0,0,5.7534,0,0,0,94.2466,0,0.01714,0.36851,0,0,0,0,0,0,0,0,0,682,145.176613,-38.10176592
2137034,0,0,0,3,70,0,0,0,0,0,60,4,28,32,18.23529,41.17647,6.76471,1.214285714,45.29412,54.70588,340,1742.12129,31,1218,5.831882477,33.82353,30.556,52.7778,1.91083,2.9,6.79612,72.81553,20.38835,7.69231,0,74.52229,3.82166,32.02614,16.33987,16.99346,28.10458,4.57516,0,0,0,0,0,0,0,53.09352,46.90648,0.22236,0.19574,0,0,0,0,0,0,0,0,0,341,145.1845544,-38.10292451
2137035,0,0,1,3,41.43,0,0,0,0,0,61.15107914,17.986,33.094,28.058,21.40921,38.21138,7.31707,1.005434783,49.8645,50.1355,369,1985.54361,35,1297,5.910796644,33.06233,29.268,62.6016,0,2.8,0,83.2,12,10.45198,1.68539,71.91011,1.68539,28.24859,17.51412,19.77401,22.0339,4.51977,0,25.74959,0,19.19399,0,0,0,55.05642,0,0.2072,0.18584,0,0,0,0,0,0,0,0,0,369,145.1903343,-38.10558414
2137036,1,0,0,5,53.33,0,1,0,1,0,57.85123967,8.264,31.405,26.446,23.82199,39.00524,4.18848,1.139664804,46.85864,53.14136,382,3306.67854,31,1125,5.948034989,32.98429,35.878,56.4885,1.71429,2.8,5.34351,76.33588,10.68702,11.19403,1.71429,82.28571,0,31.03448,16.09195,17.24138,30.45977,3.44828,0,0,0,0,0,0,0,100,0,0,0.11583,0,0,0,0,0,0,0,0,0,383,145.1894447,-38.10292002
2137037,0,0,0,1,0,0,1,0,0,1,65.11627907,15.504,42.636,22.481,26.52068,34.54988,7.05596,1.044776119,49.14842,50.85158,411,3270.1901,31,1187,6.018593214,31.87348,34.091,56.0606,0,3,2.30769,75.38462,20,7.91789,3.15789,74.73684,6.31579,35.60209,20.94241,13.61257,23.56021,3.14136,0,0,0,0,0,0,0,100,0,0,0.12568,0,0,0,0,0,0,0,0,0,411,145.1850913,-38.10612032
2137038,0,0,0,3,50,0,1,0,0,1,50,18.75,22.917,27.083,29.35323,42.78607,9.95025,0.787610619,55.72139,44.27861,201,2035.78544,33,1125,5.308267697,17.91045,38.889,50,0,2.7,9.33333,70.66667,20,13.20182,0,76.84211,7.36842,25.80645,32.25806,22.58065,16.12903,0,0,26.21051,0,0,0,0,0,73.78949,0,0.09577,0.09922,0,0,0,0,0,0,0,0,0,202,145.1723323,-38.11356269
2137039,2,0,0,3,70,4.684180941,9,0,1,8,54.6875,14.063,18.75,35.938,23.18841,39.61353,7.24638,1.225806452,44.44444,55.55556,207,812.74282,35,1202,5.332718793,29.95169,46.377,47.8261,3.84615,2.9,0,68.11594,27.53623,8.48485,0,72.11538,0,25.4902,14.70588,20.58824,28.43137,2.94118,0,0,0,0,0,0,0,100,0,0,0.25469,152.8348687,5.029358049,11.96289726,2.481809965,159.8670225,5.07434236,168.0891974,5.124494776,108.2215962,207,145.1624355,-38.11113805
2137040,0,0,0,2,60,0,0,0,0,0,39.23076923,14.615,18.462,20.769,24.83221,42.05817,11.18568,1.098591549,47.65101,52.34899,447,2397.24994,38,1146,6.102558595,21.92394,35.22,54.0881,0,2.6,5.6962,68.35443,22.1519,6.86767,2.85714,75.2381,1.90476,24.75728,13.1068,25.24272,27.18447,4.85437,0,13.28644,0,0,0,0,0,86.71356,0,0.04246,0.18646,0,0,0,0,0,0,0,0,0,447,145.1689005,-38.11158803
2137041,0,0,0,0,0,0,0,0,0,0,45.45454545,17.424,26.515,18.939,28.57143,41.95011,6.57596,1.01826484,49.88662,50.11338,441,2864.06514,36,1237,6.091309882,22.90249,32.099,58.0247,2.52101,2.4,3.04878,75,20.12195,9.7493,0,78.15126,3.36134,29.95781,18.14346,15.18987,29.53586,4.21941,0,3.76204,0,0,0,0,0,96.23796,0,0.01102,0.15433,0,0,0,0,0,0,0,0,0,442,145.1698938,-38.10794922
